시설물명,시설물구분,시설물종류,준공일,종별,위치,차기점검진단일,등급,최종점검진단일
7호선 (7201) 춘의역사,건축물,철도역시설,20121231,2종,경기도 부천시 원미구 길주로,20181126,A등급,20141126
7호선 (7203) 신중동역사,건축물,철도역시설,20121231,2종,경기도 부천시 원미구 길주로,20171126,B등급,20141126
7호선 (7207) 상동역사,건축물,철도역시설,20121231,2종,경기도 부천시 원미구 길주로,20171126,B등급,20141126
7호선 (7205) 부천시청역사,건축물,철도역시설,20121231,2종,경기도 부천시 원미구 길주로,20171126,B등급,20141126
가좌역사,건축물,철도역시설,20140331,2종,서울특별시 마포구 성산동,20180331,양호,20170630
송도역사,건축물,철도역시설,20121130,2종,인천광역시 연수구 수인선길110번길,20201124,A등급,20161124
남동인더스파크역사,건축물,철도역시설,20121130,2종,인천광역시 남동구 은청로,20171204,B등급,20141204
원인재역사,건축물,철도역시설,20121130,2종,인천광역시 연수구 벚꽃로,20171204,B등급,20141204
호구포역사,건축물,철도역시설,20121130,2종,인천광역시 남동구 논현동,20201124,A등급,20161124
압구정로데오역사,건축물,철도역시설,20121210,2종,서울특별시 강남구 압구정동,20191205,B등급,20161205
7호선 (7209) 삼산체육관역사,건축물,철도역시설,20121231,2종,인천광역시 부평구 길주로,20171126,B등급,20141126
7호선 (7213) 부평구청역사,건축물,철도역시설,20121231,2종,인천광역시 부평구 부평대로,20181126,A등급,20141126
온양온천역,건축물,철도역시설,20101026,2종,충청남도 아산시 온천대로,20200625,B등급,20170625
매탄권선역사,건축물,철도역시설,20131231,2종,경기도 수원시 권선구 권선동,20171231,양호,20170510
개포동역사,건축물,철도역시설,20030903,2종,서울특별시 강남구 개포동,20171230,B등급,20141230
대구도시철도 3-013(칠곡운암) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 구암동,20181231,양호,20170521
대구도시철도 3-025(서문시장) 역사,건축물,철도역시설,20141231,2종,대구광역시 중구 대신동,20181231,양호,20170521
서울숲역사,건축물,철도역시설,20121210,2종,서울특별시 성동구 성수동1가,20191205,B등급,20161205
가천대역사,건축물,철도역시설,19940901,2종,경기도 성남시 수정구 태평동,20171230,B등급,20141230
구룡역사,건축물,철도역시설,20040924,2종,서울특별시 강남구 개포동,20171230,B등급,20141230
서현역사,건축물,철도역시설,19940901,2종,경기도 성남시 분당구 서현동,20181230,A등급,20141230
울산역사,건축물,철도역시설,20110930,2종,울산광역시 울주군 삼남면 신화리,20200531,B등급,20170531
도시형 자기부상열차 합동청사역,건축물,철도역시설,20160203,2종,인천광역시 중구 운서동,20200203,양호,20170619
달월역사,건축물,철도역시설,20150228,2종,경기도 시흥시 월곶동,20190228,양호,20170612
서울지하철 9호선 917공구(종합운동장역),건축물,철도역시설,20151231,2종,서울특별시 송파구 올림픽로,20191231,양호,20170527
모란역사,건축물,철도역시설,19940901,2종,경기도 성남시 중원구 성남동,20181230,A등급,20141230
정자역사,건축물,철도역시설,19940901,2종,경기도 성남시 분당구 정자동,20181230,A등급,20141230
